Station,Year,Julian_day,Hr/Min,Bvolt,Ptemp,Solar,Rain,Ambient,Humidity,WD,WS,BaromP,Atmometer,SoilT ,SoilT,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM
133,2013,17,500,12.68,5.55,0,0.626,4.923,91.8,145.8,1.193,987,0.252,9.42,10.64,3.101,2.344,2.576,12.41,1.49,9.11,1.499,1.481,-17,-14,-15,-59,-10,-43,-10,-10
133,2013,17,600,12.68,5.004,0,0.939,3.945,85.4,155.6,1.584,986,0.399,9.58,10.86,3.103,2.346,2.574,12.43,1.491,9.11,1.501,1.48,-17,-14,-15,-59,-10,-43,-10,-10
133,2013,17,700,12.57,4.162,0,0.626,3.777,82.6,150.7,1.378,986,0.224,9.48,10.79,3.107,2.35,2.574,12.47,1.494,9.12,1.503,1.48,-17,-14,-15,-59,-10,-43,-10,-10
133,2013,17,800,12.54,4.028,0.001,0.626,4.132,77.6,152.6,1.685,986,0.455,9.23,10.59,3.113,2.354,2.574,12.5,1.494,9.12,1.505,1.479,-17,-14,-15,-59,-10,-43,-10,-10
133,2013,17,900,12.52,4.048,0.03,0.626,3.896,77.7,151.1,1.473,986,0.319,9.21,10.64,3.118,2.359,2.571,12.52,1.496,9.11,1.507,1.478,-17,-14,-15,-59,-10,-43,-10,-10
133,2013,17,1000,12.52,3.903,0.081,0.626,3.403,84.6,151.5,1.696,986,0.333,9.11,10.62,3.122,2.363,2.57,12.56,1.493,9.1,1.508,1.477,-17,-14,-15,-59,-10,-43,-10,-10
133,2013,17,1100,12.52,3.763,0.073,0.626,2.743,89.4,139.8,2.257,986,0.855,9.07,10.63,3.126,2.367,2.569,12.86,1.493,9.09,1.51,1.476,-17,-14,-15,-61,-10,-43,-10,-10
133,2013,17,1200,12.51,3.456,0.051,0.626,2.519,92.4,181.9,2.416,985,1.335,8.98,10.58,3.134,2.373,2.568,13.41,1.495,9.08,1.512,1.475,-17,-14,-15,-64,-10,-42,-10,-10
133,2013,17,1300,12.51,3.415,0.049,0.939,2.667,93.7,172.4,2.376,984,1.556,8.73,10.49,3.141,2.382,2.568,13.92,1.497,9.08,1.514,1.474,-17,-14,-15,-66,-10,-42,-10,-10
133,2013,17,1400,12.5,3.464,0.057,0.626,2.394,93.7,163,2.303,984,1.228,8.63,10.54,3.151,2.392,2.566,14.29,1.499,9.09,1.516,1.473,-17,-14,-15,-68,-10,-42,-10,-10
133,2013,17,1500,12.51,3.05,0.097,0.939,1.57,93.2,176,2.826,984,1.866,8.67,10.71,3.157,2.402,2.564,14.73,1.5,9.09,1.518,1.472,-17,-14,-15,-71,-10,-43,-10,-10
133,2013,17,1600,12.5,2.042,0.081,0.626,0.374,94.6,169.3,2.299,984,0.86,8.6,10.81,3.167,2.416,2.564,15.47,1.502,9.09,1.519,1.47,-17,-14,-15,-75,-10,-43,-10,-10
133,2013,17,1700,12.49,1.071,0.007,0.939,-0.009,95.4,178.8,1.256,986,0.2,8.12,10.59,3.182,2.436,2.567,15.9,1.504,9.09,1.52,1.468,-17,-14,-15,-77,-10,-42,-10,-10
133,2013,17,1800,12.48,0.675,0.003,0.626,-0.016,95.8,148.1,0.539,987,0.2,7.67,10.46,3.201,2.457,2.572,16.14,1.506,9.11,1.523,1.468,-17,-14,-15,-78,-10,-42,-10,-10
133,2013,17,1900,12.48,0.676,0,0.626,0.553,95.9,119.1,1.125,989,0.249,7.36,10.32,3.22,2.475,2.574,16.29,1.508,9.11,1.524,1.467,-17,-14,-15,-79,-10,-42,-10,-10
133,2013,17,2000,12.48,0.868,0,0.626,0.829,94.2,104,1.164,992,0.324,7.13,10.29,3.235,2.491,2.578,16.36,1.51,9.1,1.526,1.466,-17,-14,-15,-79,-10,-42,-10,-10
133,2013,17,2100,12.48,0.733,0,0.626,0.699,91.7,114.6,1.005,993,0.239,7.04,10.34,3.25,2.506,2.579,16.37,1.512,9.09,1.527,1.465,-17,-14,-15,-79,-10,-42,-10,-10
133,2013,17,2200,12.47,0.311,0,0.313,0.51,89.4,161.6,1.095,995,0.215,6.934,10.35,3.264,2.518,2.583,16.25,1.513,9.08,1.529,1.464,-17,-14,-15,-79,-10,-42,-10,-10
133,2013,17,2300,12.47,-0.181,0,0.626,0.536,87.3,151.9,1.044,996,0.2,6.763,10.28,3.278,2.529,2.59,16.08,1.515,9.08,1.531,1.464,-17,-14,-15,-77,-10,-42,-10,-10
133,2013,17,2400,12.47,-0.724,0,0.626,0.068,89.9,183.8,0.566,997,0.2,6.709,10.25,3.289,2.537,2.594,15.78,1.518,9.07,1.532,1.463,-17,-14,-15,-76,-10,-42,-10,-10
133,2013,18,100,12.46,-1.239,0,0.313,-0.384,91.1,183.7,0.756,997,0.2,6.53,10.08,3.302,2.545,2.6,15.4,1.519,9.05,1.532,1.46,-17,-14,-15,-74,-10,-42,-10,-10
